,geoid,year,combined_id,total_pop,median_age,nonfamily_households,family_households,high_school_including_ged,graduate_professional_degree,some_college_and_associates_degree,housing_units,occupied_housing_units,median_structure_age,dwellings_under_4_units,dwellings_5_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,walked_to_work,commuters_by_public_transportation,commuters_by_car_truck_van,commute_under_10_mins,commute_10_29_mins,commute_30_59_mins,commute_over_60_mins,income_per_capita,gini_index,poverty,rent_over_50_percent,rent_25_to_50_percent,rent_under_25_percent,median_rent
42,42260,2007,42260.acs,687181.0,46.7,108794.0,188092.0,160995.0,53895.0,147294.0,389933.0,296886.0,35.0,263985.0,40383.0,17654.0,17292.0,5327.0,2441.0,255842.0,66194.0,154369.0,82981.0,24510.0,31020.0,0.464,62364.0,14913.0,31159.0,12152.0,836.0
43,10420,2007,10420.acs,699356.0,38.3,100361.0,181308.0,170922.0,47496.0,119082.0,308144.0,281669.0,53.0,257582.0,27344.0,3853.0,12971.0,6683.0,4350.0,310720.0,76694.0,181020.0,108510.0,28626.0,26007.0,0.456,91219.0,20821.0,27869.0,19413.0,579.0
44,40380,2007,40380.acs,1030495.0,38.8,138453.0,261252.0,198219.0,87605.0,190934.0,441588.0,399705.0,56.0,363270.0,39500.0,8076.0,13711.0,14272.0,10032.0,427817.0,120960.0,284039.0,112415.0,28652.0,25137.0,0.435,128131.0,34354.0,41890.0,28840.0,597.0
45,12060,2007,12060.acs,5271550.0,34.7,598333.0,1268750.0,912142.0,389040.0,858369.0,2113283.0,1867083.0,31.0,1613706.0,295890.0,68602.0,61989.0,35741.0,83672.0,2243756.0,358161.0,1042231.0,1057966.0,630256.0,28804.0,0.453,581823.0,130289.0,215676.0,127825.0,723.0
46,26420,2007,26420.acs,5629127.0,33.0,548174.0,1348267.0,902243.0,323625.0,899904.0,2170112.0,1896441.0,36.0,1502092.0,342373.0,81806.0,124764.0,38180.0,69086.0,2368767.0,445517.0,1124163.0,1098509.0,510366.0,26697.0,0.48,804072.0,147202.0,249365.0,177951.0,623.0
47,25540,2007,25540.acs,1189113.0,39.4,154204.0,301105.0,233032.0,120605.0,197246.0,491963.0,455309.0,55.0,390922.0,50981.0,19556.0,27122.0,14425.0,16471.0,531267.0,129569.0,325624.0,184055.0,45074.0,32886.0,0.443,97231.0,32326.0,48437.0,34481.0,740.0
48,19100,2007,19100.acs,6144489.0,33.3,646269.0,1482379.0,932280.0,360579.0,1066821.0,2364241.0,2128648.0,34.0,1695287.0,363631.0,116564.0,95185.0,33421.0,47562.0,2706600.0,517113.0,1375124.0,1138660.0,464190.0,27627.0,0.461,768400.0,146080.0,301490.0,196091.0,650.0
49,45900,2007,45900.acs,141060.0,41.1,19664.0,38202.0,28849.0,10649.0,30740.0,78678.0,57866.0,38.0,65896.0,3991.0,275.0,1031.0,1874.0,,59986.0,,37173.0,,,26421.0,0.455,12730.0,2157.0,4134.0,2137.0,658.0
50,16540,2007,16540.acs,141665.0,39.2,17522.0,39527.0,44503.0,6271.0,21099.0,59647.0,57049.0,45.0,49472.0,2923.0,757.0,434.0,1396.0,267.0,62377.0,,34962.0,,,24360.0,0.42,10659.0,2330.0,4672.0,5401.0,496.0
51,45860,2007,45860.acs,188273.0,42.9,22813.0,50919.0,42308.0,16576.0,36162.0,83221.0,73732.0,52.0,75221.0,5025.0,761.0,1780.0,2046.0,1746.0,87855.0,,42641.0,,,33796.0,0.42,9741.0,3486.0,5253.0,3320.0,685.0
52,28100,2007,28100.acs,110705.0,35.9,11993.0,28529.0,25393.0,4733.0,22830.0,44157.0,40522.0,51.0,36677.0,2344.0,391.0,953.0,1330.0,1126.0,44335.0,,22949.0,,,22126.0,0.403,13559.0,2713.0,4282.0,2761.0,558.0
53,13980,2007,13980.acs,159022.0,30.3,25112.0,36977.0,28050.0,12842.0,24008.0,68313.0,62089.0,41.0,47923.0,11378.0,772.0,281.0,2244.0,,63871.0,,37442.0,,,19655.0,0.433,29949.0,7596.0,6748.0,6653.0,526.0
54,49660,2007,49660.acs,570704.0,41.4,78191.0,153704.0,175393.0,24418.0,95047.0,262541.0,231895.0,59.0,226295.0,15463.0,4377.0,5629.0,4482.0,1318.0,225868.0,,137134.0,,,21251.0,0.427,81677.0,14570.0,20898.0,13554.0,439.0
55,46700,2007,46700.acs,408599.0,36.0,37867.0,97471.0,68241.0,16430.0,95216.0,149805.0,135338.0,39.0,121789.0,15726.0,2219.0,4598.0,2920.0,5523.0,165386.0,41218.0,77154.0,64417.0,50602.0,27620.0,0.399,37888.0,12993.0,17994.0,6937.0,1025.0
56,39820,2007,39820.acs,179427.0,37.9,23472.0,46002.0,34425.0,7786.0,49001.0,76480.0,69474.0,40.0,59207.0,5068.0,1270.0,1160.0,1229.0,,70109.0,,48710.0,,,23452.0,0.448,22551.0,5442.0,9337.0,5627.0,651.0
57,25180,2007,25180.acs,261953.0,37.0,32084.0,67916.0,70445.0,13013.0,45771.0,113041.0,100000.0,41.0,91321.0,8207.0,1047.0,1305.0,2535.0,1757.0,119643.0,,60169.0,,,25424.0,0.422,26741.0,6576.0,9882.0,7596.0,605.0
