,year,acs_geoid,cbsa_name,epa_site,longitude,latitude
308,2016,24060,"Glenwood Springs, CO",0020,-107.32860000000001,39.5464
309,2016,16700,"Charleston-North Charleston, SC",0048,-80.06501,32.980253999999995
310,2016,16700,"Charleston-North Charleston, SC",0049,-79.958694,32.790984
311,2016,20180,"DuBois, PA",4000,-78.52619399999999,41.1175
312,2016,24060,"Glenwood Springs, CO",0002,-106.82100000000001,39.154
313,2016,48580,"Whitewater-Elkhorn, WI",0005,-88.49904599999999,42.580009
314,2016,35300,"New Haven-Milford, CT",2123,-73.043611,41.550556
315,2016,19820,"Detroit-Warren-Dearborn, MI",0033,-83.148754,42.306674
316,2016,19820,"Detroit-Warren-Dearborn, MI",0001,-83.2082,42.22862
317,2016,19820,"Detroit-Warren-Dearborn, MI",0015,-83.10652999999999,42.302786
318,2016,19820,"Detroit-Warren-Dearborn, MI",1005,-83.153435,42.289449
319,2016,19820,"Detroit-Warren-Dearborn, MI",1008,-83.151415,42.281869
320,2016,19820,"Detroit-Warren-Dearborn, MI",1009,-83.16258499999999,42.270008999999995
321,2016,41180,"St. Louis, MO-IL",0010,-90.153954,38.694438
322,2016,41180,"St. Louis, MO-IL",0024,-90.144763,38.700632
323,2016,25060,"Gulfport-Biloxi-Pascagoula, MS",0008,-89.04977799999999,30.390369
324,2016,41180,"St. Louis, MO-IL",0027,-90.37993,38.26351
325,2016,41180,"St. Louis, MO-IL",0094,-90.28115,38.631139999999995
326,2016,41180,"St. Louis, MO-IL",0085,-90.198348,38.656428999999996
327,2016,40180,"Riverton, WY",0232,-107.549444,43.081666999999996
328,2016,41180,"St. Louis, MO-IL",3007,-90.105851,38.860669
329,2016,41180,"St. Louis, MO-IL",9008,-90.28214,38.11999
330,2016,41180,"St. Louis, MO-IL",0016,-90.44883999999999,38.75264
331,2016,41180,"St. Louis, MO-IL",0093,-90.18986799999999,38.656479
332,2016,19820,"Detroit-Warren-Dearborn, MI",0093,-83.266189,42.385998
333,2016,19820,"Detroit-Warren-Dearborn, MI",1006,-83.16114499999999,42.283069
334,2016,19820,"Detroit-Warren-Dearborn, MI",0095,-83.42504199999999,42.421502
335,2016,19820,"Detroit-Warren-Dearborn, MI",0009,-82.793463,42.731393999999995
336,2016,25060,"Gulfport-Biloxi-Pascagoula, MS",0003,-89.395916,30.300832999999997
337,2016,19820,"Detroit-Warren-Dearborn, MI",0011,-83.319037,42.635560999999996
338,2016,41180,"St. Louis, MO-IL",0019,-90.395904,38.448671999999995
339,2016,12540,"Bakersfield, CA",0232,-119.016787,35.438035
340,2016,12540,"Bakersfield, CA",0011,-118.147294,35.050551
341,2016,12540,"Bakersfield, CA",6001,-119.272606,35.503586999999996
342,2016,12540,"Bakersfield, CA",5002,-118.78863,35.23918
343,2016,12540,"Bakersfield, CA",0014,-119.062613,35.356615
344,2016,12540,"Bakersfield, CA",9001,-118.887598,34.821922
345,2016,12540,"Bakersfield, CA",2012,-118.999961,35.331612
346,2016,26420,"Houston-The Woodlands-Sugar Land, TX",1043,-95.0647,29.672
347,2016,26420,"Houston-The Woodlands-Sugar Land, TX",1039,-95.128508,29.670025
348,2016,26420,"Houston-The Woodlands-Sugar Land, TX",0058,-95.03123199999999,29.770698
349,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",0007,-117.93845,33.830619999999996
350,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0003,-121.09959,38.93568
351,2016,13820,"Birmingham-Hoover, AL",0004,-86.82575399999999,33.317142
352,2016,26420,"Houston-The Woodlands-Sugar Land, TX",1004,-95.39250899999999,29.520443
353,2016,22380,"Flagstaff, AZ",8102,-111.984846,35.973116999999995
354,2016,12300,"Augusta-Waterville, ME",0016,-69.786717,44.312318999999995
355,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",9000,-120.103506,38.976
356,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0010,-120.821916,38.725282
357,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",9001,-119.97,38.924800000000005
358,2016,13820,"Birmingham-Hoover, AL",0023,-86.815,33.553056
359,2016,26420,"Houston-The Woodlands-Sugar Land, TX",0078,-95.425128,30.350302
360,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0012,-121.164457,38.683304
361,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0010,-121.49311,38.568439999999995
362,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0011,-121.420838,38.302591
363,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0006,-121.368014,38.613779
364,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",0002,-117.92391,34.136500000000005
365,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",9034,-118.884819,34.813034
366,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",1103,-118.22688,34.06659
367,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",5005,-118.43048999999999,33.95507
368,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",1602,-118.0685,34.01029
369,2016,44700,"Stockton-Lodi, CA",1002,-121.268523,37.950741
370,2016,44700,"Stockton-Lodi, CA",2010,-121.247874,37.793392
371,2016,12540,"Bakersfield, CA",0007,-118.85182499999999,35.345607
372,2016,26420,"Houston-The Woodlands-Sugar Land, TX",0029,-95.673951,30.039524
373,2016,26420,"Houston-The Woodlands-Sugar Land, TX",1035,-95.257593,29.733725999999997
374,2016,26420,"Houston-The Woodlands-Sugar Land, TX",0416,-95.294722,29.686389
375,2016,26420,"Houston-The Woodlands-Sugar Land, TX",0024,-95.326137,29.901035999999998
376,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",2002,-121.303144,38.885528
377,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0004,-120.953832,39.100173999999996
378,2016,24860,"Greenville-Anderson-Mauldin, SC",0016,-82.25670099999999,34.751847999999995
379,2016,24860,"Greenville-Anderson-Mauldin, SC",0015,-82.414585,34.843894999999996
380,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",0016,-117.85036,34.144349999999996
381,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",1201,-118.53276,34.19925
382,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",6012,-118.5284,34.38344
383,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0004,-121.77340000000001,38.53445
384,2016,26420,"Houston-The Woodlands-Sugar Land, TX",0051,-95.474167,29.623889
385,2016,26420,"Houston-The Woodlands-Sugar Land, TX",1066,-95.49265,29.721600000000002
386,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",2022,-117.67593,33.63003
387,2016,40900,"Sacramento--Roseville--Arden-Arcade, CA",0006,-121.26498,38.74643
388,2016,41140,"St. Joseph, MO-KS",0005,-94.858584,39.741693999999995
389,2016,12300,"Augusta-Waterville, ME",2005,-69.785,44.230622
390,2016,26420,"Houston-The Woodlands-Sugar Land, TX",1034,-94.861289,29.254474
391,2016,13820,"Birmingham-Hoover, AL",1005,-87.00361099999999,33.331111
392,2016,13820,"Birmingham-Hoover, AL",2003,-86.924167,33.499722
393,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",1302,-118.20500000000001,33.901389
394,2016,31080,"Los Angeles-Long Beach-Anaheim, CA",2005,-118.1272,34.132600000000004
395,2016,42860,"Seneca, SC",0001,-83.2377,34.805261
396,2016,24060,"Glenwood Springs, CO",0018,-107.230397,39.412278
397,2016,24060,"Glenwood Springs, CO",0009,-107.659685,39.487755
398,2016,29340,"Lake Charles, LA",0008,-93.285084,30.262604
399,2016,37740,"Payson, AZ",1001,-110.785797,33.006178999999996
400,2016,45460,"Terre Haute, IN",0018,-87.40131199999999,39.485987
401,2016,39980,"Richmond, IN",0006,-84.889927,39.812256
402,2016,46700,"Vallejo-Fairfield, CA",0004,-122.237976,38.102506999999996
403,2016,46520,"Urban Honolulu, HI",2004,-157.969126,21.392833
404,2016,46520,"Urban Honolulu, HI",1001,-157.85541999999998,21.307579999999998
405,2016,43580,"Sioux City, IA-NE-SD",0021,-96.39475499999999,42.499843999999996
406,2016,20260,"Duluth, MN-WI",7555,-92.15997999999999,46.72938
407,2016,20260,"Duluth, MN-WI",7554,-92.165998,46.743657
408,2016,37740,"Payson, AZ",0012,-110.87445,33.397433
409,2016,24780,"Greenville, NC",0006,-77.360126,35.641276
410,2016,45460,"Terre Haute, IN",0025,-87.37443999999999,39.507688
411,2016,21740,"Evanston, WY",0101,-111.042376,41.373097
412,2016,22660,"Fort Collins, CO",0006,-105.75200000000001,40.829
413,2016,22660,"Fort Collins, CO",0009,-105.079693,40.571287999999996
414,2016,48900,"Wilmington, NC",0010,-77.9547,34.23583
415,2016,20260,"Duluth, MN-WI",7001,-92.536305,47.523354999999995
416,2016,20260,"Duluth, MN-WI",7549,-92.11731999999999,46.771069999999995
417,2016,20260,"Duluth, MN-WI",7550,-92.08936,46.818259999999995
418,2016,37740,"Payson, AZ",8100,-110.942801,34.090866
419,2016,37740,"Payson, AZ",0010,-111.1074,33.6547
420,2016,37740,"Payson, AZ",8000,-110.82967,33.419017
421,2016,21060,"Elizabethtown-Fort Knox, KY",0006,-85.852629,37.705611999999995
422,2016,28780,"Kingsville, TX",0314,-97.298692,27.426980999999998
423,2016,24640,"Greenfield Town, MA",2005,-72.596689,42.605816
424,2016,46520,"Urban Honolulu, HI",0010,-158.088613,21.323745
425,2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0505,-93.512534,44.791436999999995
426,2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0465,-93.11622,44.834309999999995
427,2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1908,-93.199879,44.973096
428,2016,10420,"Akron, OH",0023,-81.54153199999999,41.087862
429,2016,17540,"Clinton, IA",0019,-90.21198199999999,41.823282999999996
430,2016,13140,"Beaumont-Port Arthur, TX",0011,-93.991084,29.897516
431,2016,33860,"Montgomery, AL",1002,-86.26339399999999,32.412811
432,2016,40540,"Rock Springs, WY",0849,-109.766971,41.504315
433,2016,40540,"Rock Springs, WY",0019,-109.68755,41.70934
434,2016,40540,"Rock Springs, WY",0898,-109.640283,41.735324999999996
435,2016,21820,"Fairbanks, AK",0035,-147.310297,64.762973
436,2016,13380,"Bellingham, WA",0022,-121.065815,48.73142
437,2016,13140,"Beaumont-Port Arthur, TX",1071,-93.9597,29.8515
438,2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0446,-92.77414999999999,45.02798
439,2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0448,-92.77525,45.02124
440,2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1001,-93.20306,45.40184
441,2016,13140,"Beaumont-Port Arthur, TX",1001,-93.761341,30.085262999999998
442,2016,40540,"Rock Springs, WY",0077,-108.619,41.158
443,2016,40540,"Rock Springs, WY",0200,-108.024835,41.677667
444,2016,39260,"Prineville, OR",0100,-120.844773,44.299786999999995
445,2016,13180,"Beaver Dam, WI",0001,-88.621111,43.466111
446,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",5005,-80.176389,26.294166999999998
447,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0033,-80.33845,26.073535999999997
448,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",8002,-80.111193,26.088421
449,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0010,-80.167222,26.128611
450,2016,18500,"Corning, NY",0003,-77.20978,42.09142
451,2016,11260,"Anchorage, AK",1004,-149.569707,61.3267
452,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0030,-80.680819,25.39122
453,2016,31700,"Manchester-Nashua, NH",5001,-71.878626,42.86183
454,2016,26090,"Holland, MI",0003,-86.148577,42.767786
455,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0034,-80.25694399999999,26.053888999999998
456,2016,27180,"Jackson, TN",0006,-88.809578,35.651348999999996
457,2016,12100,"Atlantic City-Hammonton, NJ",0006,-74.448736,39.464872
458,2016,29620,"Lansing-East Lansing, MI",0012,-84.534633,42.738617999999995
459,2016,40340,"Rochester, MN",5008,-92.450366,43.996908
460,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1016,-80.21555599999999,25.794221999999998
461,2016,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0008,-80.66644699999999,26.724785999999998
462,2016,31700,"Manchester-Nashua, NH",1011,-71.52241599999999,42.718652999999996
463,2016,16300,"Cedar Rapids, IA",0040,-91.68766,41.976769999999995
464,2016,40060,"Richmond, VA",0014,-77.40026999999999,37.55652
465,2016,20420,"Durango, CO",7003,-107.870219,37.102579999999996
466,2016,42340,"Savannah, GA",0021,-81.04942,32.06848
467,2016,42340,"Savannah, GA",1002,-81.130222,32.090779
468,2016,40420,"Rockford, IL",0013,-89.092767,42.263081
469,2016,20420,"Durango, CO",1004,-107.484167,37.303889999999996
470,2016,11640,"Arecibo, PR",0002,-66.694987,18.453388999999998
471,2016,44140,"Springfield, MA",0008,-72.555112,42.194379999999995
472,2016,20940,"El Centro, CA",1003,-115.56306000000001,32.79222
473,2016,20940,"El Centro, CA",0007,-115.53917,32.97833
474,2016,44140,"Springfield, MA",4002,-72.334079,42.298493
475,2016,44140,"Springfield, MA",0016,-72.590803,42.108992
476,2016,20940,"El Centro, CA",4004,-115.54528,33.213611
477,2016,20940,"El Centro, CA",0005,-115.48307,32.676179999999995
478,2016,19500,"Decatur, IL",0013,-88.92559399999999,39.866834
479,2016,28140,"Kansas City, MO-KS",0003,-94.57983,38.759609999999995
480,2016,39340,"Provo-Orem, UT",4001,-111.713611,40.341389
481,2016,27140,"Jackson, MS",0021,-90.225667,32.346722
482,2016,27140,"Jackson, MS",0020,-90.182722,32.329111
483,2016,10580,"Albany-Schenectady-Troy, NY",0005,-73.75464,42.64225
484,2016,20700,"East Stroudsburg, PA",0002,-75.32328,41.083059999999996
485,2016,10300,"Adrian, MI",0007,-83.946559,41.995568
