,geoid,Unnamed: 0,2007.mean.88502,2007.stdev.88502,2008.mean.88502,2008.stdev.88502,2009.mean.88502,2009.stdev.88502,2010.mean.88502,2010.stdev.88502,2011.mean.88502,2011.stdev.88502,2012.mean.88502,2012.stdev.88502,2013.mean.88502,2013.stdev.88502,2014.mean.88502,2014.stdev.88502,2015.mean.88502,2015.stdev.88502,2016.mean.88502,2016.stdev.88502,2017.mean.88502,2017.stdev.88502,2018.mean.88502,2018.stdev.88502,2007.mean.68105,2007.stdev.68105,2008.mean.68105,2008.stdev.68105,2009.mean.68105,2009.stdev.68105,2010.mean.68105,2010.stdev.68105,2011.mean.68105,2011.stdev.68105,2012.mean.68105,2012.stdev.68105,2013.mean.68105,2013.stdev.68105,2014.mean.68105,2014.stdev.68105,2015.mean.68105,2015.stdev.68105,2016.mean.68105,2016.stdev.68105,2017.mean.68105,2017.stdev.68105,2018.mean.68105,2018.stdev.68105
70,18500,928.0,,,,,,,,,,,,,,,,,,,,,,,,,8.632576,10.708581500000001,8.116536,9.9016685,8.255989,9.663637,9.505011999999999,10.5281625,12.2384905,11.001993,12.6125,9.9682965,7.748862,10.3364235,7.350956500000001,10.72451,8.8176385,10.842699499999998,9.469976,9.915588,8.246416,9.784632499999999,9.062109,10.542552
71,11780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,41660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,43300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,34780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,17660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,10540,1084.0,7.1709939999999985,7.0074679999999985,6.7046579999999985,5.202214,7.015746000000001,6.145935,5.293593,3.56517,6.4775,5.3201589999999985,5.854372,4.057554,7.568492999999999,6.940356,6.329863,5.337017,7.216714,8.180175,5.253005,3.694309,6.857808,8.458903999999999,5.198524,5.122253,,,,,,,,,,,,,,,,,,,,,,,,
78,41780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,40700,1063.0,7.6822219999999986,5.152593,8.05442,5.040473,7.780556,4.5703239999999985,5.674931,2.888337,6.511944000000001,4.85356,5.726795999999998,3.483976,8.125478999999999,5.240746,6.08956,4.134462,6.126849,4.780276000000001,4.861357,2.97922,8.015877,9.202693,5.872357999999998,5.2454649999999985,,,,,,,,,,,,,,,,,,,,,,,,
80,33140,481.0,,,,,,,,,,,,,,,,,,,,,,,,,11.823692,11.032627,9.945946000000001,10.783411,9.10087,9.751684,11.342373,10.724629,11.307080000000001,10.255136,12.799145,9.706081,9.729915,10.66864,8.434211,11.127331,10.97686,10.397562,12.004918,10.529234,11.686726,10.157031,11.963393,10.657595
81,28100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,18260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,25060,729.0,,,,,,,,,,,,,,,,,,,,,,,,,21.330070000000003,6.924179499999998,20.7641875,6.88265,21.6069065,8.0920465,18.6,8.736206,20.314159,7.693443999999999,21.105172,6.534548,19.914545,7.0446909999999985,20.357265,7.7274509999999985,21.021186,6.6010860000000005,20.923276,6.8355000000000015,21.177778,6.42145,22.853933,7.649539999999999
85,31900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,39460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,18980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,17220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,27740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,24260,782.0,,,,,,,,,,,,,,,,,,,,,,,,,11.848214,12.153522,10.925243,11.544235,9.716239,10.596738,10.97807,12.006103,10.439496,11.837682000000001,12.194017,11.057984,10.712281,11.427657,10.276471,11.964323,12.386087,10.862053,12.915179,10.875762,13.066981,11.269696000000001,11.169828,12.253299
91,10140,1353.0,6.6664819999999985,4.048856,6.840110000000001,3.189503,5.301653,3.610879,3.321569,1.159359,4.109296,2.505553,4.396995,2.815051,6.5115940000000005,3.6966339999999995,5.141564,2.375938,5.275375,2.400664,4.854728,1.901727,5.489045,4.785138,4.9840779999999985,3.745271,,,,,,,,,,,,,,,,,,,,,,,,
92,40780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,30500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,49300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,30620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,43140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,26300,78.0,,,,,,,,,,,,,,,,,,,,,,,,,19.114912,8.985496999999997,17.788496,8.866779,17.528098999999994,8.804867999999997,18.69,10.178734,19.273333,9.54389,20.6108535,9.253971,17.434844000000002,9.863353,15.7224245,8.856480999999997,18.1341175,9.522689,19.110194,8.526415,20.4283985,7.729535,18.273253,9.949548
98,31460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,44220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,46020,142.5,,,,,,,,,,,,,,,,,,,,,,,,,11.229645750000001,8.12895675,11.5160645,8.06286575,11.988281749999999,8.322460499999998,12.1867195,7.719258250000001,10.47850175,7.7405975,11.17614425,8.075121249999999,11.90170925,8.35348625,12.974632,6.888164,12.228707499999999,7.2038525,11.669691999999998,8.1468335,9.948146999999999,8.360733499999998,12.203332999999999,8.425511499999999
101,12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,23900,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,12.469502,10.3272425,12.0538535,9.283948,10.1942425,9.6455795,12.288333,10.53892,12.217241,9.757392999999999,12.586667,8.805881,11.113333,10.117202,9.861403999999999,10.489412,12.095,9.828175,14.117857,9.187761,12.507018,8.740338999999999,12.005556,9.810726
103,14140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,38660,1459.0,,,,,,,,,,,,,,,,,,,,,,,,,29.613158000000002,0.8286009999999999,30.256757,1.6651200000000002,30.020588,1.4121350000000001,29.902596999999997,1.957642,30.204255,2.037441,27.995062,1.7058650000000002,29.113675,1.404605,28.069090999999997,1.404473,27.246957000000002,1.392607,27.289565000000003,1.426158,26.0,1.170015,26.460215,1.508392
105,20620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,31980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,36980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
